INT HAS_VARIANCE 1
INT CHILD_SPEED_VAR_TOP 1
INT CHILD_SPEED_VAR_BOT 2
INT COOLDOWN 1
INT PROJECTILES_PER_USE 1
INT CHILD_LIFETIME 50
INT CHILD_SPEED_TOP 2
INT CHILD_SPEED_BOT 1
INT CHILD_TPF 2
INT CHILD_DAMAGE 15
INT CHILD_AIR_RESISTANCE 950
INT CHILD_GRAVITY 0
INT CHILD_PERSIST_ON_COLLISION 1
INT PARTICLES_PER_FRAME 1
INT PARTICLE_RAND_1000 800
INT PARTICLE_VELOCITY 700
INT PARTICLE_LIFE 20
STRING START_COLOR_START WHITE
STRING START_COLOR_END ORANGE
STRING END_COLOR_START ORANGE
STRING END_COLOR_END DARK_RED 
