INT PROJECTILES_PER_USE 1
INT HAS_VARIANCE 0
INT CHILD_LIFETIME 500
INT CHILD_SPEED_TOP 1
INT CHILD_SPEED_BOT 1
INT CHILD_TPF 2

INT AMMO_VALUE 100

INT CHILD_EXPLOSIVE 1

INT CHILD_DISTANCE_TEST 0

INT CHILD_COLLISION_TEST 1
INT CHILD_DAMAGE 0

INT CHILD_DEATH_IF_HITS_UNIT 1

STRING CHILD_AT_DEATH EXPLODE
INT CHILD_EXPLODE_POWER 25

STRING NAME Rocket\slauncher

INT CHILD_PARTICLES_PER_FRAME 4
INT CHILD_PARTICLE_RAND_1000 400
INT CHILD_PARTICLE_VELOCITY 0
INT CHILD_PARTICLE_LIFE 20
INT CHILD_PARTICLE_SCALE 800

STRING CHILD_START_COLOR_START ORANGE
STRING CHILD_START_COLOR_END ORANGE
STRING CHILD_END_COLOR_START DARK_RED
STRING CHILD_END_COLOR_END DARK_RED

INT CHILD_MODEL_PROTOTYPE 0

INT RELOAD_TIME 250
INT CLIP_SIZE 3
INT COOLDOWN 50

STRING FIRE_SOUND flamethrower
STRING AMMUNITION_TYPE Rockets
