INT CHILD_LIFETIME 150
INT CHILD_SPEED_TOP 1
INT CHILD_SPEED_BOT 1
INT CHILD_TPF 8
INT PROJECTILES_PER_USE 50
INT HAS_VARIANCE 1
INT CHILD_SPEED_VAR_TOP 4
INT CHILD_SPEED_VAR_BOT 10

INT CHILD_DISTANCE_TEST 0

INT CHILD_COLLISION_TEST 1
INT CHILD_DAMAGE 27
INT CHILD_MASS 200

INT CHILD_DEATH_IF_HITS_UNIT 1

STRING NAME Shotgun

INT CHILD_MODEL_PROTOTYPE 2

STRING FIRE_SOUND shotgun

INT FIRE_LIGHT_LIFE 5
INT FIRE_LIGHT_R 255
INT FIRE_LIGHT_G 170
INT FIRE_LIGHT_B 0

INT RELOAD_TIME 150
INT CLIP_SIZE 7
INT COOLDOWN 30

STRING AMMUNITION_TYPE Shells
